id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
2YcYq07Y8WizYfdXckzHk2,É Só Catucadão,Mc Roba Cena,139031,0,0.952,0.875,1,-5.94,1,0.146,0.289,0.0,0.0444,0.832,130.06,0,2.3171833333333334
0Gv6vYS0yyP6KMaCOiJL5g,Parado Na Esquina,Mc Roba Cena,51692,33,0.886,0.804,11,-7.874,0,0.347,0.686,0.0,0.797,0.932,86.685,0,0.8615333333333334
3ShPuQnVlARW7ZhEQxpT84,Poxa Vida,Mc Roba Cena,155140,21,0.593,0.567,8,-9.919,0,0.534,0.578,0.0,0.629,0.865,86.567,0,2.5856666666666666
0PwSh5KZSGMJ20gxQsXbB8,É O Pique Hein - Dj 2L MLQ Sinistro,Mc Roba Cena,219245,13,0.829,0.954,11,-2.997,1,0.0684,0.0525,0.0,0.074,0.89,160.053,0,3.6540833333333333
06RLZonRimy3B9WAn44ftT,Deslizo E Desco,Mc Priscila,222136,1,0.576,0.87,0,-1.87,1,0.385,0.616,0.0,0.121,0.852,130.085,0,3.7022666666666666
7yXjiudJb6NZqVJWXwwTKP,Solta Logo Esse Tambor,Mc Larissa,141296,11,0.811,0.745,9,-4.759,1,0.28,0.482,0.0,0.369,0.864,130.144,0,2.3549333333333333
0ZIqoxtoXPZlfZvrfxNsYZ,"Fica a Vontade Tá? Tu Tá na 13, Tá?",MC Flavinho,212998,8,0.861,0.94,7,-4.376,1,0.348,0.382,0.0,0.105,0.598,149.959,0,3.5499666666666667
4j3ks7PnPeax3qtSCCu52c,Não fala da Beth,MC Saci do Pira,228963,18,0.955,0.837,7,-4.446,1,0.249,0.0977,0.0,0.213,0.638,130.101,0,3.81605
2y0lYm1RyouoySaV226NRY,Sete da Manhã,MC 2L,203125,0,0.729,0.979,5,-0.587,1,0.0706,0.783,0.0,0.621,0.749,130.117,0,3.3854166666666665
24L4MaOvF7sH4GUX8U5AYz,Ai Meu Lulu,Mc Zuza,158011,11,0.762,0.667,3,-4.538,0,0.106,0.557,4.63e-06,0.137,0.646,129.945,0,2.6335166666666665
3i0CC1WMDMfss92QsaPkOr,Ai Meu Piru - Dj Lucian e Dj R15 Remix,Mc Zuza,132774,16,0.799,0.881,7,-3.699,1,0.0751,0.135,0.0,0.0581,0.925,130.027,0,2.2129
6Qq7F1cu1W4RTzmVMjWwhj,Montagem Senta no Poste,Mc Rd,143725,0,0.781,0.865,0,-2.904,1,0.194,0.404,0.0,0.196,0.714,129.982,0,2.3954166666666667
0AwPzqv3MLAYyKxhvTpDfr,Vem Cá Novinha Rebolando de Sainha,Mc Rd,170690,0,0.92,0.985,1,-0.665,1,0.217,0.303,0.0,0.0955,0.547,130.093,0,2.8448333333333333
4flFJBcyeqMQjnCllmQtYt,Dona Da Noite,MC Marcelly,173813,5,0.813,0.807,9,-4.249,0,0.0974,0.18,0.0,0.131,0.883,130.027,0,2.8968833333333333
